,0,label
423,"[1, 52, 0]",220
424,"[1, 52, 0]",220
425,"[1, 52, 0]",220
426,"[1, 52, 0]",220
427,"[1, 52, 0]",220
428,"[1, 52, 0]",220
429,"[1, 52, 0]",220
430,"[1, 52, 0]",220
431,"[1, 52, 0]",220
432,"[1, 52, 0]",220
433,"[1, 52, 0]",220
434,"[1, 52, 0]",220
435,"[1, 52, 0]",220
436,"[1, 52, 0]",220
437,"[1, 52, 0]",220
438,"[1, 52, 0]",220
439,"[1, 52, 0]",220
440,"[1, 52, 0]",220
441,"[1, 52, 0]",220
442,"[1, 52, 0]",220
443,"[1, 52, 0]",220
444,"[1, 52, 0]",220
445,"[1, 52, 0]",220
446,"[1, 52, 0]",220
447,"[1, 52, 0]",220
448,"[1, 52, 0]",220
449,"[1, 52, 0]",220
450,"[1, 52, 0]",220
451,"[1, 52, 0]",220
452,"[1, 52, 0]",220
453,"[1, 52, 0]",220
454,"[1, 52, 0]",220
455,"[1, 52, 0]",220
456,"[1, 52, 0]",220
457,"[1, 52, 0]",220
458,"[1, 52, 0]",220
459,"[1, 52, 0]",220
460,"[1, 52, 0]",220
461,"[1, 52, 0]",220
462,"[1, 52, 0]",220
463,"[1, 52, 0]",220
464,"[1, 52, 0]",220
465,"[1, 52, 0]",220
466,"[1, 52, 0]",220
467,"[1, 52, 0]",220
468,"[1, 52, 0]",220
469,"[1, 52, 0]",220
470,"[1, 52, 0]",220
471,"[1, 52, 0]",220
472,"[1, 52, 0]",220
473,"[1, 52, 0]",220
474,"[1, 52, 0]",220
475,"[1, 52, 0]",220
476,"[1, 52, 0]",220
477,"[1, 52, 0]",220
478,"[1, 52, 0]",220
479,"[1, 52, 0]",220
480,"[1, 52, 0]",220
481,"[1, 52, 0]",220
482,"[1, 52, 0]",220
483,"[1, 52, 0]",220
484,"[1, 52, 0]",220
485,"[1, 52, 0]",220
486,"[1, 52, 0]",220
487,"[1, 52, 0]",220
488,"[1, 52, 0]",220
489,"[1, 52, 0]",220
490,"[1, 52, 0]",220
491,"[1, 52, 0]",220
492,"[1, 52, 0]",220
493,"[1, 52, 0]",220
494,"[1, 52, 0]",220
495,"[1, 52, 0]",220
496,"[1, 52, 0]",220
497,"[1, 52, 0]",220
498,"[1, 52, 0]",220
499,"[1, 52, 0]",220
500,"[1, 52, 0]",220
501,"[1, 52, 0]",220
502,"[1, 52, 0]",220
503,"[1, 52, 0]",220
504,"[1, 52, 0]",220
505,"[1, 52, 0]",220
506,"[1, 52, 0]",220
507,"[1, 52, 0]",220
508,"[1, 52, 0]",220
509,"[1, 52, 0]",220
510,"[1, 52, 0]",220
511,"[1, 52, 0]",220
512,"[1, 52, 0]",220
513,"[1, 52, 0]",220
514,"[1, 52, 0]",220
515,"[1, 52, 0]",220
516,"[1, 52, 0]",220
517,"[1, 52, 0]",220
518,"[1, 52, 0]",220
519,"[1, 52, 0]",220
520,"[1, 52, 0]",220
521,"[1, 140, 0]",220
522,"[1, 133, 0]",220
523,"[1, 20, 0]",220
524,"[1, 20, 0]",220
525,"[1, 133, 0]",220
526,"[1, 133, 0]",220
527,"[1, 140, 0]",220
528,"[0, 40, 0]",220
529,"[1, 40, 0]",220
530,"[0, 40, 0]",220
531,"[1, 40, 0]",220
532,"[0, 40, 0]",220
533,"[0, 552, 0]",220
534,"[0, 40, 0]",220
535,"[0, 40, 0]",220
536,"[0, 40, 0]",220
537,"[0, 40, 0]",220
538,"[0, 552, 0]",220
539,"[0, 40, 0]",220
540,"[0, 40, 0]",220
541,"[0, 40, 0]",220
542,"[0, 40, 0]",220
543,"[1, 40, 0]",220
544,"[0, 40, 0]",220
545,"[0, 40, 0]",220
546,"[0, 40, 0]",220
547,"[0, 40, 0]",220
548,"[0, 40, 0]",220
549,"[0, 40, 0]",220
550,"[0, 40, 0]",220
551,"[0, 40, 0]",220
552,"[0, 40, 0]",220
553,"[0, 40, 0]",220
554,"[0, 40, 0]",220
555,"[0, 40, 0]",220
556,"[0, 40, 0]",220
557,"[0, 40, 0]",220
558,"[0, 40, 0]",220
559,"[0, 40, 0]",220
560,"[0, 40, 0]",220
561,"[0, 40, 0]",220
562,"[0, 40, 0]",220
563,"[0, 40, 0]",220
564,"[0, 40, 0]",220
565,"[0, 40, 0]",220
566,"[0, 40, 0]",220
567,"[0, 40, 0]",220
568,"[0, 40, 0]",220
569,"[0, 40, 0]",220
570,"[0, 40, 0]",220
571,"[0, 40, 0]",220
572,"[0, 40, 0]",220
573,"[0, 40, 0]",220
574,"[0, 40, 0]",220
575,"[0, 40, 0]",220
576,"[0, 40, 0]",220
577,"[0, 40, 0]",220
578,"[0, 40, 0]",220
579,"[0, 40, 0]",220
580,"[0, 1500, 0]",220
581,"[0, 40, 0]",220
582,"[0, 40, 0]",220
583,"[0, 40, 0]",220
584,"[0, 40, 0]",220
585,"[0, 40, 0]",220
586,"[0, 212, 0]",220
587,"[0, 40, 0]",220
588,"[0, 40, 0]",220
589,"[0, 40, 0]",220
590,"[0, 40, 0]",220
591,"[0, 40, 0]",220
592,"[0, 40, 0]",220
593,"[0, 40, 0]",220
594,"[0, 40, 0]",220
595,"[0, 40, 0]",220
596,"[0, 40, 0]",220
597,"[0, 40, 0]",220
598,"[1, 160, 0]",220
599,"[0, 552, 0]",220
600,"[1, 20, 0]",221
601,"[1, 20, 0]",221
602,"[1, 140, 0]",221
