,0,1,2,3,4,label
193,"[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 525, 0]","[0, 20, 0]",210
194,"[1, 20, 0]","[0, 201, 17]","[0, 115, 21]","[0, 55, 22]","[0, 91, 23]",210
195,"[1, 438, 0]","[0, 192, 47]","[0, 1380, 47]","[0, 51, 47]","[0, 1380, 47]",210
196,"[1, 546, 0]","[1, 192, 0]","[0, 32, 0]","[0, 32, 0]","[1, 1380, 13]",210
197,"[1, 641, 0]","[0, 32, 53]","[0, 541, 53]","[1, 51, 55]","[0, 192, 63]",210
198,"[1, 1380, 0]","[0, 20, 12]","[0, 20, 12]","[0, 20, 12]","[0, 20, 12]",210
199,"[1, 98, 0]","[0, 78, 31]","[0, 1380, 32]","[0, 1380, 32]","[0, 179, 32]",210
200,"[1, 32, 0]","[0, 32, 79]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 166]",211
201,"[1, 32, 0]","[0, 32, 73]","[1, 20, 73]","[1, 1915, 74]","[0, 32, 155]",211
202,"[1, 32, 0]","[0, 32, 73]","[1, 20, 73]","[1, 1915, 73]","[0, 32, 149]",211
203,"[1, 32, 0]","[0, 32, 78]","[1, 20, 78]","[1, 1915, 79]","[0, 32, 161]",211
204,"[1, 32, 0]","[0, 32, 89]","[1, 20, 90]","[1, 1915, 91]","[0, 32, 201]",211
205,"[1, 32, 0]","[0, 32, 126]","[1, 20, 126]","[1, 1915, 128]","[1, 1380, 385]",211
206,"[1, 32, 0]","[0, 32, 79]","[1, 20, 79]","[1, 1915, 80]","[0, 32, 165]",211
207,"[1, 32, 0]","[0, 32, 72]","[1, 20, 72]","[1, 1915, 73]","[0, 32, 150]",211
208,"[1, 32, 0]","[0, 32, 83]","[1, 20, 83]","[1, 1915, 85]","[0, 32, 192]",211
209,"[1, 32, 0]","[0, 32, 71]","[1, 20, 71]","[1, 1915, 72]","[0, 32, 149]",211
210,"[1, 32, 0]","[0, 32, 95]","[1, 20, 95]","[1, 1915, 106]","[0, 32, 189]",211
211,"[1, 32, 0]","[0, 32, 82]","[1, 20, 82]","[1, 1915, 83]","[0, 32, 168]",211
212,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 1915, 82]","[0, 20, 169]",211
213,"[1, 32, 0]","[0, 20, 0]","[0, 1915, 1]","[1, 32, 85]","[1, 20, 87]",211
214,"[1, 32, 0]","[0, 32, 71]","[1, 20, 71]","[1, 1915, 72]","[1, 1380, 214]",211
215,"[1, 32, 0]","[0, 32, 99]","[1, 20, 99]","[1, 1915, 100]","[0, 32, 183]",211
216,"[1, 32, 0]","[0, 32, 95]","[1, 20, 95]","[1, 1915, 96]","[0, 32, 181]",211
217,"[1, 32, 0]","[0, 32, 82]","[1, 20, 82]","[1, 1915, 83]","[0, 32, 168]",211
218,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 165]",211
219,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 175]",211
220,"[1, 150, 0]","[0, 159, 15]","[0, 330, 16]","[0, 51, 16]","[1, 20, 16]",211
221,"[1, 52, 0]","[0, 52, 44]","[1, 40, 44]","[1, 1440, 45]","[1, 550, 45]",211
222,"[1, 52, 0]","[0, 52, 40]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
223,"[1, 52, 0]","[0, 52, 51]","[1, 40, 51]","[1, 1440, 52]","[1, 479, 52]",211
224,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
